SENTENCE A,SENTENCE B,label
a light brown dog is running in the water,a tan dog is splashing in the water on the bank of a pond,0
there is no guy mowing the lawn,a guy is mowing the lawn,1
the play is about a happy boy playing the piano,a man is playing the guitar,0
the cop is sitting on a police bike,a motorcyclist is sitting by a police man,0
a man is playing a harp,a man is being pushed toward the buttons of a microwave,0
a dog is standing on concrete and is holding a blue ball,a dog is running on concrete and is holding a blue ball,0
a woman is opening a soda and drinking it,a man is opening a soda and drinking it,0
one girl is jumping off a rock and another is standing on it,a young girl in a winter coat is jumping off a boulder into the sand at a beach,0
the man is not putting chicken into the container,a man is putting some food in a box,0
there is no woman playing a guitar,a man is playing a guitar,0
the woman is penciling on eyeshadow,the woman is not penciling on eyeshadow,1
a woman is taking two eggs out of a pot of water,a person is buttering a tray,0
a group of people are not looking at sound equipment,a group of people are looking at sound equipment,1
a person is removing the butter from a tray,a person is buttering a tray,0
a man is rock climbing pausing and calculating the route,a person is rock climbing and a city and a bay are in the background,0
the girl is cheering the man in the blue and white uniform,a soccer player is being tackled by his opponent,0
a girl is wearing jeans and a pink shirt and is running,the little girl in a pink shirt is running under a tree in the desert,0
a man is playing the guitar,the man isnt playing an acoustic guitar,0
a rollerblader is performing a trick on a ramp,a man on inline skates is skating at a park built for skating,0
a dog is chasing a ball,there is no dog chasing a ball,1
a little boy is wearing a yellow tank top and is laughing,there is no small boy in a yellow shirt laughing on the beach,0
a young child is watering a plant with splashes,a man is playing a flute,0
the animal with big eyes is voraciously eating,a lemur is eating,0
a couple of policewomen are singing karaoke,two women are not dancing,0
there is no man sitting on the floor and playing a guitar,a man is sitting on the floor in a room and strumming a guitar,1
a girl is falling asleep,a girl is waking up,0
rugby players are tackling each other,an opponent is tackling a soccer player,0
a kitten is drinking fresh milk,a drunk man is milking a cat,0
a little boy with a bib is watching the camera,a tan skinned kid is looking at the camera,0
a man is drilling a hole in a piece of wood,a man is closing a hole in a piece of wood,1
a person is not slicing some onions,a hamster is singing,0
the woman is not dancing,the woman is dancing,1
different things from a war are being shown to some people by a veteran,three friends are making faces for the camera,0
the baby is crawling happily,a baby is sneezing and scaring another baby,0
a man is jumping onto a low wall,a man is jumping a wall,0
a lemur is licking a persons finger,a lemur is biting a persons finger,0
the man is adding seasoning to the water in a bowl,the man is not adding seasoning to the/some water in a bowl,1
two white cats are playing with a brown dog and a ball,two white dogs and one brown dog are chasing a ball,0
some women are not talking,the men are talking,0
two women are not dancing,two women are dancing,1
a woman is planting some flowers,a woman is cutting some flowers,0
there is no man holding a sign and seeking money,a man is holding a sign and is seeking money,1
the woman is waterskiing,a woman is watching the lake,0
a dog is looking around,there is no dog looking around,1
a woman is frying meat,a woman is cooking food in a pot of hot water,0
a truck is quickly going down a hill,a drunk man is unwarily watering a cat,0
a man is cutting onions,there is no man cutting onions,1
a man is playing guitar,there is no man playing a guitar,1
someone is not reading the email,someone is reading the email,1
a dog in a colored coat is running across the yard,a brown and black dog is running through the leaves,0
the white dogs arent looking curiously at the black llama,a black sheep is standing near three white dogs,0
there is no man playing a game on the grass,the man is playing a game on the grass,1
"It will connect to that headset.  You may need an M22 amplifier, depending on your phone.",This is the right cord if your phone supports a headset connection... My office MITEL phone was supposed to work but I ended up needing the Plantronics Amplifier (M22) connected in line with the handset for the phone for it to function correctly.,0
there is no man doing back flips on a trampoline,a man is doing back flips on a trampoline,1
the women are not dancing outside,the women are dancing outside,1
a woman is frying something in a pan,there is no woman frying something in a pan,1
a man is putting away a stenograph machine,the man is operating a stenograph,0
a man is riding a motorbike,a motorbike rider is running over a man ,0
there is no dog standing on the side of a mountain,a dog is standing on the side of a mountain,1
a man is making a call on a cell phone,a man is talking on the phone,0
a person is cutting mushrooms with a knife,a person is putting away the mushrooms,0
the practicing person doesnt like the guitar,the guitar is being played by a lady,0
there is no kitten drinking milk,the milk is being drunk by a cat,0
a baby is not crawling happily,a baby is crawling happily,1
a small guinea pig is gnawing and eating a piece of carrot on the floor,there is no small guinea pig gnawing and eating a piece of carrot on the floor,1
a woman is peeling a potato,a man is slicing a red tomato,0
a couple is standing on a patio and looking at the sky,a couple is sitting on a patio and looking at the ocean,0
a person is kicking a monkey,a monkey is kicking a person,0
a white dog is running across a rocky landscape,a black dog is running across a rocky landscape,0
a young girl with a heart tank top is raising her hands as she is sliding,a blond kid is going down a slide and throwing up his arms,0
an officer is talking to the recruits,the recruits are barking at the military officer,0
a brown and white dog is catching a dirty tennis ball in a dirt field,a dog is running on the beach and chasing a ball,0
two race cars are on a road in front of a grassy parking area,no race car is on a road in front of a grassy parking area,1
a man is walking along a track through a wilderness,a man is peeling an onion,0
two people dressed in green and red costumes are outside on the seashore,two people dressed in green and red costumes are outside on the sidewalk,0
a little girl in a green coat and a boy holding a red sled are walking in the snow,a child is wearing a coat and is carrying a red sled behind a child in a green and black coat,0
a little boy is wearing a yellow tank top and is laughing,a little boy is topless and is serious,0
a man is sitting on the grass and drinking from a water bottle,a woman is sitting on the grass and is drinking from a water bottle,0
a girl is messing up her hair,a girl is filing her nails,0
the small child is wading through the water and is being guided by another person,there is no young child splashing in the water,1
the man is putting away the guitar in the guitar case,the man is playing the guitar and has the guitar case open for donations,1
a boy in a swimsuit is sitting on top of a circular fountain,the boy is standing next to the opening of a fountain,0
there is no man standing near the water and holding fishing poles,two men are standing near the water and are holding fishing poles,1
three asian kids are dancing and a man is looking,the children of a family are playing and waiting,0
there is no man cutting a paper,a man is cutting a paper,1
a boy in a red shirt is behind a long blue wall and is lowering an eyebrow facing the camera,a boy is standing in front of the blue building in the space reserved for handicapped people,0
a brown and white dog is resting in the grass,a brown and white dog is running through the tall grass,0
two men a woman and two young boys are sitting in front of a large gathering of people outside a building,a large crowd in warm clothing is posing for a camera,0
a talk about an adult and a boy is given in the amphitheater,the man and the boy are standing at the bottom of the stairs which are outdoors,0
a seabird is slowly flying over some rocks,a large duck is flying over a rocky stream,0
a young girl is jumping into a still lake,a young boy is jumping into a still lake,0
a girl is jumping rope on a sidewalk near a parking garage,a boy is jumping rope on a sidewalk near a parking garage,0
a skateboarder is falling off a half pipe,a skateboarder is doing tricks on a half pipe,0
tom did it well,tom did it badly,1
some runners are competing in a race,the runners are racing around a track,0
a man in a white hat is playing guitar on stage,a man in a white hat is getting off stage,0
a man is rinsing a large steak,a person is rinsing a steak with water,0
two men are doing a funny skit with a boxer in front of a crowd of people,a funny crowd of people is doing a skit of two boxing men,0
a man is not playing a guitar,a man is playing a keyboard,0
a dog is lying on a trampoline,a dog is bouncing on a trampoline,0
a pair of kids are sticking out blue and green colored tongues,two young boys are wearing hats and sticking their colored tongues out,0
the man is granting an interview,a white car is being driven by the man,0
a woman is dancing and singing in the rain,a woman is dancing and singing alone,0
some children are playing on a playground,some children are not playing on a playground,1
the man is not stirring oil,the man is stirring oil,1
a dog has its head outside a red and green gift bag,a dog has its head inside a red and green gift bag,0
the black dog is climbing on a rock,there is no dog standing with its two front paws on a rock in the field,0
a football player in a red and white uniform is being lifted by two teammates,a football player in a red and white uniform is being pulled down by two teammates,1
a child is wearing a yellow jacket and is jumping down from a rock,a young boy is jumping into water,0
a woman is playing the keyboard and a man is dancing,a woman is dancing on a stage,0
there is no woman playing an electric guitar,a woman is playing an electric guitar,1
the wave is being ridden by a surfer,a woman in a yellow shirt is surfing on a pink surfboard,0
why dont you let me go,why do you let me go,1
a man in a blue jumpsuit is failing to perform a wheelie on a motorcycle,the man is doing a wheelie with a motorcycle on ground which is mostly barren,0
a boy is standing next to the opening of a fountain,the man is standing on a rocky mountain and gray clouds are in the background,0
a young girl by a pink sign is holding up a blue shirt and is walking on the sidewalk,the girl is carrying a sign and a group of people is following her,0
a rope is being climbed by a man,a man is eating a carrot sliced by a machine,0
no little dog is running on the sand,the dog is running across the gravel,0
an onion is being sliced,someone is holding a hedgehog,0
a dog is barking noisily,a jet is flying,0
a little boy in red clothes is jumping onto the ground,a little boy in red clothes is jumping into the air,0
an old man with a grey beard is riding a bike,the bicycle is being ridden by a man wearing a beret on a recreation trail,0
a black cat is jumping from a hay ball to another hay ball,a black dog is jumping from n hay ball to another hay ball,0
a little black dog is wearing a red collar and is in the leaves with a blue ball,there is no dog jumping at a shiny blue soccer ball in a field of dry leaves,0
the rider is biking in the rain and wearing a red jacket,a cyclist is biking in a snowy forest at night,0
a man is cutting a potato,there is no man cutting a potato,1
a person is scrubbing a zucchini,a woman is eating zucchini and vegetables and scrubbing with a brush,0
there are no people flipping the tires of a tractor,two people in a race are flipping the tires of a tractor,1
there are no boys kneeling next to each other in front of a ball,the young boys are posing with a green soccer ball in a park,0
some furious racers on the green grass are yelling at the horses jumping an obstacle,the jockeys are racing horses on the field which is completely green,0
a white cat perched on a small wooden cabinet is looking outside the window,the cat perched on the table isnt looking out the window,0
nobody is drilling a hole in a strip of wood with a power drill,a man is drilling a hole in a piece of wood,0
the bearded man is sitting on a train,the man is sitting on the train and resting his hand against his face,0
there is no man playing the guitar,the man is playing the guitar,1
a girl dressed in purple and blue is walking beside her bike at night,there is no woman in a purple top walking a bicycle between two stone columns,0
a large gray ball is hitting a running dog which is carrying some grass in its mouth,a large dog is running on the grass with a tennis ball in its mouth,0
the man is carelessly smearing butter on a slice of garlic bread,a piece of bread which is big is having butter spread upon it by a man or a piece of bread which is big is being spread with butter by a man,0
a woman is riding on an elephant,a soda is being opened and drunk by a woman,0
a person is removing chopped vegetables from a pot on the stove,a man is patting an alligator on the mouth,0
there is no woman pouring ingredients into a bowl,a woman is pouring ingredients into a bowl,1
a man is sitting on a chair and rubbing his eyes,there is no man sitting on a chair and rubbing his eyes,1
two daschunds are playing with a red ball,there is no dog playing with a red ball,1
a girl is wearing jeans and a pink shirt and is running,there is no girl wearing jeans and a pink shirt and running,1
a man is not playing with water,a man is doing a card trick,0
a dog is playing with a toy,a dog is biting a doll,0
a young child with black hair is deleting a picture from the camera,a young child with black hair is taking a picture with a camera,0
two people are sitting in lawn chairs and are reading books,two people in two chairs are reading pleasantly,0
a jet is not flying,a jet is flying,1
the man is on the ride with the horse,a man is riding a motorbike,0
three men are dancing,the men are not dancing,1
a man is singing and playing a musical instrument,a man is playing a guitar,0
a man is being roped before a climb,a man is climbing a rope,0
the man is feeding the snake with a mouse,there is no man working on the laptop,0
the bicyclist is not riding on a city street,the bicyclist is riding on a city street,1
a man is wearing a long sleeved blue shirt and jeans and is riding a unicycle down a street,a man is wearing a blue checkered shirt and riding a unicycle in the street,0
there is no woman slicing a clove of garlic,a woman is slicing a clove of garlic,1
a man is cutting a lemon,a woman is firing a rifle,0
a potato peel is falling over a woman,the man is slicing potatoes,0
a guy is not riding a horse,a guy is riding a horse,1
a black and brown cat is eyeing a fly,a black and brown dog is eyeing a fly,0
a man is singing and standing on the sidewalk,a man is fishing in the river,0
a group of children is playing in the house and there is no man standing in the background,the young boys are playing outdoors and the man is smiling nearby,0
a girl is filing her nails,a girl is styling her hair,0
a family is purchasing something at the vending machine,two kids and a woman are playing games at an arcade,0
a man is playing an acoustic guitar,the woman is playing a guitar which is electric,0
a woman is not frying some food,a woman is frying some food,1
a young boy is singing and playing a guitar,there is no young boy singing and playing a guitar,1
some people are walking,some people are standing,0
a man is loading a rifle with bullets,a woman is seasoning a piece of meat,0
a young man is sitting in a field,an old man is sitting in a field,1
a man is putting garlic on some bread slices,a person is sprinkling seasoning on several sliced and buttered loaves of bread,0
there is no woman cooking a breaded pork chop,a woman is cooking a breaded pork chop,1
a brown dog is looking closely at a brown and white dog,the little dog is grabbing the bedroom slipper with its mouth,0
a woman is slicing a clove of garlic,a woman is slicing a big pepper,0
a practicing jumper is tossing a persons snowboard into the air,the snowboarder is leaping over white snow,0
a person in biking gear is standing steadily in front of some mountains ,the mountain gear is steadily placed in front of the standing biker,0
a boat is sailing peacefully over the water,the guitar is being played by a man,0
there is no policewoman singing at karaoke,a couple of policewomen are singing karaoke,1
a group of football players is running in the field,a group of football players is standing still in the field,0
a man is opening a small package that contains headphones,a man is singing and playing the guitar,0
there is no person writing,the person is writing with a pencil,1
two people are stopping on a motorcycle,two people are riding a motorcycle,0
a dog which is furry and black is in a back yard and is carrying a basket in its mouth,a dog next to a tree which is probably a pine is dropping a bucket,0
a man is speaking,the man is dancing,0
a dog is jumping high into the air in the country,the dog is jumping in the shade of some trees,0
the windows are being cleaned by a man,there is no window being cleaned by a man,1
a man in a car is pulling up beside a woman that is who along a road,a child is walking down the street and a jeep is stopping,0
a few women are holding each other and dancing together,two men are playing table football,0
a man is drinking orange juice and walking,a man is spilling orange juice and standing still,0
two children are playing soccer in the park,children are playing outside with a soccer ball on the green grass,0
children in red shirts are playing in the leaves,children covered by leaves are playing with red shirts,0
no,No you can't use your voice to make a call. You would need to activate that option on your phone and speak to your phone to make the call.,0
a woman is pouring ingredients into a bowl,the woman is seasoning the oil,0
a boy who is little is sitting in a green tunnel with a smile on his face,a small boy in a striped shirt is sliding out of a green tube,0
the elderly person is waiting a lady on the sidewalk,a woman in a fur hat and fur coat is standing outside a building,0
a person playing football is wearing black armbands,the american footballer is wearing a red and white strip,0
a woman is cooking fish,there is no woman cooking fish,1
the snowboarder is leaping over white snow,a leap over white snow is greatly appealing to the snowboarders,0
a woman is playing an electric guitar,a man is playing a guitar,0
a man dressed in black is wearing an elaborate black mask,a mask is being held by a man in his raised hand,0
a little black dog is wearing a red collar and is in the leaves with a blue ball,a dog is jumping at dry leaves in a field of shiny blue soccer balls,0
two people are not riding motorbikes,two people are riding motorbikes,1
a man is singing to a woman,a funny crowd of people is doing a skit of two boxing men,0
the ceiling is on the fan,the fan is on the ceiling,1
a man is carrying a tree,a man is planting a tree,0
a cyclist is biking in a snowy forest at night,the man is biking in the snow and wearing a red jacket,0
a herd of deer is crossing the street,the herd of caribous is crossing a road,0
the man is doing a wheelie on a mountain bike,the man is not doing a wheelie on a mountain bike,1
there is no little girl playing the piano,a little girl is playing the piano,1
a sea turtle is hunting for fish,the turtle is following the red fish,0
a man is pouring a plate of shredded cheese into a pot of sauce,the woman is removing cheese from the sauce,0
the cat is licking milk from a saucer,the cat isnt licking milk from a saucer,1
several young people are posing for a photo and holding beers,a group of people is holding drinks and pointing at the camera,0
a man wearing a dyed black shirt is sitting at the table and laughing,a person is sitting comfortably at the table,0
a dog which is small is playing on the green grass,a dog which is small is running out of the green grass,0
a machine is sharpening a knife,a machine is sharpening a pencil,0
there is no man speaking,a man is spitting,0
there is no person wearing grey pants who is airborne on a snowboard,a snowboarding man is jumping through the air,0
a little dog is running on the sand,the dog is running across the gravel,0
a girl is riding a horse,the person is trotting on the horse,0
boys are dancing in front of some people,two men with a dog are boring a crowd of people,0
a group of people in a large asian restaurant is eating,the cheerleaders are parading and wearing black pink and white uniforms,0
people are sitting against a wall,people is standing against a wall,0
a woman is not slicing an octopus,a woman is slicing an octopus,1
two people are sitting on a park bench on a sunny day,two men dressed in white and black are sitting on a bench,0
the black dog is climbing on a rock,the dog is standing with its two front paws on a rock in the field,0
a man is playing a bamboo flute,the man is not playing a flute,1
a boy is filling a pitcher with water,a woman is emptying the water from a mug,0
a cat with a white coat perched on a small wooden cabinet is looking outside the window,the cat perched on the table is looking out the window,0
a dog is leaping high in the air and another is watching,two dogs are playing by a plant,0
nobody is rinsing a steak with water,a person is rinsing a steak with water,1
a red dog is jumping and catching a tennis ball in its mouth,a tan dog is jumping up and catching a tennis ball,0
a lion is slowly walking,a lion is tiring the whole pen by pacing,0
a boy is mowing the lawn,a man is mowing grass,0
the woman is not picking up and holding a baby kangaroo,a woman is picking up and holding a baby kangaroo in her arms,1
a woman is cutting some plants,a woman is cutting broccoli,0
two race cars are on a road in front of a grassy parking area,two cars are racing down the track,0
a small bee is landing on a bunch of yellow flowers,there is no small bee landing on a bunch of yellow flowers,1
the motocross rider is wearing blue and black pants,the motocross rider is standing naked,0
a woman is wearing an american headdress,a woman is wearing an egyptian hat on her head,1
a man is jumping onto a low wall,a man is jumping off a low wall,1
a chimp is practicing martial arts,a monkey is kicking a person,0
the lady is taking an egg out of a bowl,the man is cracking eggs into a bowl,0
a middle eastern woman is standing with her back against a lamp post near to other people,a middle eastern man is standing with the back against a lamp post near to other people,0
one woman is playing a flute,a flute is being played by a girl,0
a person is quickly chopping mushrooms with a knife,a person is not quickly chopping mushrooms with a knife,1
a man is singing and playing a guitar,someone is singing about a man who plays the guitar,0
"No it does not, the chord I received has the type of plug that fits into the 4 or the 4s.",No. Fits older iphones.,0
a man is playing an instrument,a woman is playing the flute,0
a woman is standing and isnt looking at the waterfall,the man in a grey t-shirt is sitting on a rock in front of the waterfall,0
a man is riding a mechanical bull,a man is playing an instrument,0
a chubby faced boy is not wearing sunglasses,a chubby faced boy is wearing sunglasses,1
a dog is near the red ball in the air,a small kid is playing with a green toy dog on the grass,0
men are running a race,some men are resting,0
a man is naked and is lying in the field,the player in purple white and black is playing near the end of the field,0
a man and a woman are sitting comfortably on the bench,nobody is sitting comfortably on the bench,1
the soccer player is kicking the ball between somebodys legs,a person is kicking a soccer ball between their feet,0
a dog is excitedly playing with water in a field,the dog is snapping at some droplets of water,0
a white dog is standing on a grassy hillside,a dog is standing on the side of a mountain,0
a brown dog and a grey dog are fighting in the snow,two dogs are playing in the snow,0
a group of people are walking,a group of people are dancing at a concert,0
Yes.. I was able to use the SIM Card from my old Phone.The only issue I have with the Phone is connecting to BlueTooth Headsets.I have purchase 3 different Headsets and the phone does not connect properly to any of them.,yes,0
a man is skiing down a hill and over a red obstacle,a man is snowboarding down a railing in the snow,0
a person is piecing together an onion,a person is slicing a carrot into pieces,0
the man is slicing vegetables,there is no woman slicing a potato,0
a man is jumping into a full pool,a man is jumping into an empty pool,1
a woman is sitting near a flower bed and is overlooking a tunnel,two people are standing on a bench,0
susan is rude,susan is polite,1
a man is playing baseball with a flute,a man is playing flute,0
a woman is cutting a tomato,a woman is dancing near a fireplace,0
a man is slicing a fish,there is no man cutting a fish,1
a group of students in uniforms is listening attentively at the front of the class,a classroom full of students is looking in the same direction inside a bamboo structure,0
a small child is showing boredom on a swing set at the park,the little girl is swinging and the woman is standing behind her,0
three people are driving four wheel atvs in a street,three people are driving four wheel atvs in a field,0
a man and a woman are driving down the road in an open-air vehicle,two persons are driving down the street in a jeep,0
a girl is skipping rope in a park,a girl is jumping rope on a sidewalk near a parking garage,0
there is no woman dancing,some women are dancing,1
the dog is playing with a plastic container,the puppy is not playing with a plastic container,1
the man is singing heartily and playing the guitar,a bicyclist is holding a bike over his head in a group of people,0
the woman is putting away a flute,a woman is playing a flute,0
an old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers,there is no woman wearing sunglasses of large size and holding newspapers in both hands,0
a brown and white dog is running through the water,a dog is emerging from a lake,0
a girl in a uniform which is blue is lowering her arm,a girl in a uniform which is blue is raising her arm,0
a woman is cutting a tomato,a man is cutting a tomato,0
there is no cat walking on a hardwood floor,a baby is crawling happily,0
there is no rabbit playing with a toy rabbit,a rabbit is playing with a toy rabbit,1
the muscular black man is dancing and the man behind him is wearing green beads,the shirtless man in striped shorts and sunglasses is standing near a man in a white shirt and sunglasses,0
the military officer is shouting at the recruits,a rollerblader is performing a trick on a ramp,0
Yes I have a 4S and it works perfect!,yes..I have an ipod and it works great!!!,0
a dog is standing with its two front paws on a rock in a field,the black dog is not climbing on a rock,0
a dead bird is near a black man sitting on a tree,the black bird is sitting in a leafless tree,0
a child is holding a camera in front of his face,a young child with hair of black color is taking a picture with a camera,0
two boys are doing martial arts on a blue mat,two children in white outfits and red protective gear are sitting on a mat,0
a woman is cutting a lemon,a woman is firing a rifle,0
a man is being roped by a climber,a rope is being climbed by a man,0
three children are running up hill,three children are running down a grassy hillside,0
the woman is frying a breaded pork chop,the lady isnt breaking raw eggs into a bowl,0
the cyclist is performing a trick in the air,the cyclist isnt performing a trick in the air,1
a dog is not running towards a ball,a dog is running towards a ball,1
a man is putting garlic on some bread slices,a man is sprinkling seasoning on several sliced and buttered loaves of bread,0
a group of students in uniforms is listening attentively at the front of the class,a group of students in uniforms is ignoring the front of the class,1
there is no chef preparing a meal,a chef is preparing a meal,1
the woman in a red costume is leaning against a brick wall and playing an instrument,an instrument is being played by a woman in a red dress,0
the black dog is climbing on a rock,the black dog is not climbing on a rock,1
a man is racing,a man is running down the road,0
two people are sitting on a park bench on a sunny day,two people are sitting on a park bench on a rainy day,0
a seabird is flying over some rocks,a large duck is perching over a rocky stream,0
two people in two chairs are talking,two people in two chairs are reading,0
an old person is sitting on a bench,a large dog is running on the grass with a tennis ball in its mouth,0
a boy is wearing a black dress and is carrying a white cross,a lady is wearing a black dress and is carrying a white cross,0
a person is on a beach,a man a woman and two girls are walking on the beach,1
"Yes, transmits everything through the radio from your phone.","Yes it will if your not playing music and have the garmin app open on your phone, my google maps app doesn't verbally give me directions, but what ever is broadcasting on you phone wether it be music a phone call or directions the jabra will play thru your speakers",0
a man is playing a harp,there is no man playing a harp,1
there is no girl wearing a t-shirt and keeping her mouth open,a girl from asia in front of a brick window looks surprised,0
the man is doing a wheelie on a mountain bike,a man is stopping in the middle of a road,0
a skateboarder is making a jump off a ramp,no skateboarder is making a jump off a ramp,1
a man is not playing the drums,a man is playing the drums,1
a young person in a white shirt and gold and black hat is sitting with crossed legs,a man with a backwards hat is sitting on the ground,0
a boy in a swimsuit is sitting on top of a circular fountain,a girl is standing next to the opening of a fountain,0
a man is putting away the guitar,a man is playing a guitar,0
a dog is biting a can,a dog is opening a jar of food,0
the man is exercising,there is no man doing pull-ups,0
a dog with golden fur is out of the water,a brown dog is standing in the water,0
two people wearing helmets are driving over the yellow and white flowers,two adults are standing on a scooter in a field of yellow flowers,0
a squirrel is running around in circles,a runner is circling a squirrel,0
a boat is sailing quietly over the water,the guitar is being played by the man,0
there is no dog running in the grass,a dog which is brown and a black one are running in the grass,1
the woman is not slicing herbs,the woman is slicing herbs,1
someone is not stirring chili in a kettle,someone is stirring chili in a kettle,1
there is no man eating some food,the man is eating,1
a little girl is smiling and wearing a fake nose and glasses,the blonde girl with the pink top is not smiling and not wearing funny glasses with a large nose attached,0
a boy is playing on a toy phone,the man is aiming a gun,0
there is no person cutting an onion,a person is cutting an onion,1
a woman in a black shirt is sitting next to a fluorescent green bag,a woman is silent and is leaving a purse and a yellow bag on the near ledge,0
Cable is approx 4 ft and is attached to the keyboard,"A little over 8 feet, and it is built in.",1
a woman is cutting an onion,a woman is slicing some meat,0
a woman is frying something,a horse is being ridden by a woman,0
there is no blond child holding a yellow bottle,a blond child is holding a yellow bottle,1
a boy in a blue shirt has dirt on his face,a blond child is holding a yellow bottle,0
two kids and a man are playing games at an arcade,two kids and a woman are playing games at an arcade,0
she aimed the gun at him,he aimed the gun at her,1
the man in the straw hat is not smoking a cigarette,a man is wearing a straw hat and smoking a cigarette,1
there is no woman tapping her fingers,a woman is tapping her fingers,1
a man is packing away the guitar,the man is playing the flute,0
a girl in a strange outfit is riding the bike,a boy in a strange outfit is riding the bike,0
a black dog is jumping from n hay ball to another hay ball,a white dog is leaping from a cylindrical hay bale,0
the boy and the girl are not playing and wearing arm floats,a boy and a girl in swimsuits are wearing arm floats,0
one man is wearing a black helmet and pushing a bicycle,a biker wearing black is breaking the gears,0
two people are talking,two men are playing guitar,0
a dog next to a tree which is probably a pine is biting a bucket,a dog in a bucket is biting a tree which is probably a pine,0
there is no man cutting tomatoes,a man is cutting tomatoes,1
the man is throwing knives at a tree,a man is outside and is throwing blades at a target which is close,0
a panda is climbing,a man is climbing a rope,0
a black helmet is being worn by a man who is pushing a bicycle,a biker is wearing gear which is black,0
a man is slicing an onion,there is no man slicing an onion,1
a little girl is smiling and running outside,a little girl is smiling and running inside,1
there is no man putting some cheese on a pizza,the man is sprinkling cheese on the pizza,1
a man is strolling in the rain,a man and a woman are walking,0
two large dogs are frolicking in a parking lot,two dogs are running through high grass,0
the person is not going into the water,the man is going into the water,0
a man is playing a guitar,a woman is playing a guitar,0
the man is not standing on a rocky mountain and gray clouds are not in the background,a topless person with a back pack is in front of a pile of rocks and clouds are in the background,0
there is no woman tapping her fingers,a woman is tapping her fingers on a table,1
a person is singing and playing the guitar,a man is passionately playing a guitar,0
the young boy is running through the ocean waves,the young boy is not running through the ocean waves,1
two people wearing helmets are riding over the yellow and white flowers,two people wearing helmets are not riding over the yellow and white flowers,1
a man is sitting near a bike and is writing a note,a man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,0
the girl is wearing an orange shirt and a striped tie,a girl in an orange shirt and clown makeup is standing in a park and others are looking on,0
a cheetah is shaken off by its prey across a field,a cheetah is chasing its prey across a field,0
i suppose that makes some sense,i suppose that makes no sense,1
There is no sim card in Verizon palm treo.,No,0
the red and brown dog is digging its nose inside a holiday gift bag,the dog has its head inside a red and green gift bag,0
a crowd of people is near the parking lot,a group of people is near the ocean,1
a man and woman are talking,a man and a woman are not eating,0
a young boy is playing a wind instrument,a kid is practicing with an instrument,0
the boy in the blue coverall is painting,the lady is holding the paintbrush next to the artists easel ,0
nobody is drilling a hole in a strip of wood with a power drill,someone is drilling a hole in a strip of wood with a power drill,1
the woman is measuring a man,the woman is measuring the other woman,0
a person is sitting and wearing a grass hat,a man is sitting in a field,0
the black bird is sitting in a leafless tree,a black bird is taking flight from a dead tree,1
the woman in the white sweater is not drawing a tattoo on the hand of a teenager,the woman in the white sweater is drawing a tattoo on the hand of a teenager,1
a big black dog is wearing a red collar and is in the leaves with a blue ball,a dog is jumping at a shiny blue soccer ball in a field of dry leaves,0
men are sawing logs,there are no men sawing,1
nobody is playing with a toad,a man is playing the trumpet,0
a person in biking gear is standing steadily in front of some mountains ,there is no person in bike gear standing steadily in front of the mountains,1
a father is in the swimming pool during his daughters launch,a father is launching the daughter in a swimming pool,0
a person is riding a bike,a person who rides bikes in a black and red uniform is standing on a dirt bike,0
a person in a black jacket is doing tricks on a motorbike,a person on a black motorbike is doing tricks with a jacket,0
a young gamer is playing with a child wearing a white coat,a young child is wearing a white coat and playing a game,0
a man is eating some food,there is no man eating some food,1
a man is breaking wooden boards with his hand,there is no man breaking wooden boards with his hand,1
the dog isnt snapping at some droplets of water,a dog is excitedly playing with water in the grass,0
Yes this device will work with any cell phone. ,Works on any BlueTooth enabled phone.,0
a wooden flute is being played by a man,a man is playing the piano,0
a man in a hat is standing outside of a green jeep,a man with no hat is standing outside of a green jeep,1
a woman is not slicing an onion,a woman is slicing an onion,1
someone is stirring a pot of chili with a spoon,nobody is stirring a pot of chili with a spoon,1
a black dog and a white dog are wrestling on the bed,a black dog and a white dog are wrestling on the ground,0
a person is tearing paper,a person is not tearing paper,1
a dog is running alongside a fence on a track full of dirt,the large brown dog is running outside in the dirt,0
a white car is being driven by the man,a person playing football is running past an official carrying a football,0
drinking milk helps a cats hunger,the cat is licking milk from a saucer,0
the person is slicing onions,there is no person peeling an onion,1
a little girl is peddling a scooter,there is no little girl peddling a scooter,1
a man is silent,a man is singing,0
a man is screwing a piece of wood to a wall,there is no man screwing a piece of wood to a wall,1
a woman is crouching down next to a dog and is smiling at a little girl sitting on the sidewalk,a woman is showing a small cat to an infant,0
there is no man loading a rifle with bullets,a woman is seasoning a piece of meat,0
the dog is knocking a boy into the water,a dog is pulling a toddler out of a rain puddle,0
there is no man slicing potatoes,a man is fitting a silencer to a pistol,0
a child is walking down the street and a jeep is pulling up,a child is walking down the street and a jeep is not pulling up,1
a bald man in a band is playing guitar in the spotlight,a guitar is being played by a man next to a drummer,0
the large brown dog is running outside in the dirt,a dog is running alongside a fence on a dirt track,0
the man is cooking slices of potato,the man is slicing a potato,0
people in costumes are walking around in the street,two people dressed in green and red costumes are outside on the sidewalk,0
a man is wearing a blue checkered shirt and riding a unicycle in the street,a man is standing shirtless in the street,0
men can be infected with hpv,men cannot be infected with hpv,1
